transaction_id,customer_id,customer_name,email,purchase_date,product_id,category,price,quantity,total_amount,payment_method,delivery_status,customer_address
1001,102,Amy Wells,caroladams@gmail.com,24/01/2024,1023,Clothing,4210.71,-1,-4210.71,creditcard,Pending,"5769 Tracy Lane
Port Amy, AZ 35865"
1002,435,Joshua Lopez,brownbenjamin,05/09/2023,1029,Electronics,3298.49,-3,-9895.47,Debit Card,Delivered,"70936 Rangel Falls
Wellshaven, AK 75186"
1003,348,Richard Alvarado,rose47@hotmail.com,09/07/2024,1078,Books,2387.86,6,14327.16,CC,Returned,"724 Aaron Villages
Patriciachester, VA 64309"
1004,270,Nichole Nelson,sgibbs@reeves.org,28/07/2023,1090,Clothing,3780.65,2,7561.3,creditcard,Shipped,"4983 James Plains
Roachland, NJ 41398"
1005,106,Debbie Baker,vvargas@gmail.com,10/09/2023,1051,Toys,562.62,5,,,Shipped,"03845 Bryan Branch Suite 738
New Joelside, ID 50557"
1006,71,Mrs. Tanya Mullen,brendareese@gmail.com,09/03/2023,1069,,4008.69,0,0,Bank Transfer,Pending,"3905 Elizabeth Tunnel Apt. 096
Sarahfurt, MT 87186"
1007,188,Adam Gonzalez,msmith@hebert.org,13/12/2024,1095,Toys,2410.54,8,19284.32,creditcard,Cancelled,"166 Griffith Mountain
South Keithchester, DC 16249"
1008,20,Anthony Reynolds,cameronwilkins@collins-mcdonald.net,09/02/2025,1089,,4294.91,-4,-17179.64,CC,,"896 Kevin Spring Apt. 064
Williamsland, IN 58965"
1009,102,Ashley Shelton,simsjessica@gmail.com,31/03/2023,1031,Books,3815.43,9,34338.87,Debit Card,Processing,
1010,121,Matthew Mason,frank20@arnold.com,10/05/2023,1050,Clothing,1784.53,7,,Bank Transfer,Delivered,"6583 Baker Turnpike Apt. 909
Justinmouth, TN 69183"
1011,466,Stephen Robles,tmassey@yahoo.com,15/05/2024,1020,,4006.81,1,,PayPal,Cancelled,"PSC 6776, Box 4786
APO AP 84316"
1001,102,Amy Wells,caroladams@gmail.com,24/01/2024,1023,Clothing,4210.71,-1,-4210.71,creditcard,Pending,"5769 Tracy Lane
Port Amy, AZ 35865"
1012,214,Kylie Anthony,robertsmith@gmail.com,27/11/2024,1055,Toys,4517.16,1,4517.16,PayPal,Pending,"5510 Martin Light
Lake Julie, MD 89110"
1013,330,Dr. Christina Robinson,wgreen@ramsey.info,03/01/2025,1081,Clothing,295.8,7,4141.2,credit,Returned,"069 Jennifer Extensions Suite 376
Port Melissaview, LA 28124"
1014,458,Tara Baker,hdaniels@neal-leonard.com,30/07/2023,1002,Clothing,3244.03,-1,-3244.03,PayPal,Delivered,"7173 Angelica Isle
Thompsonfort, RI 83315"
1015,87,Douglas Martin,pamela46@davis.com,14/10/2024,1025,Toys,3776.53,2,7553.06,Debit Card,Pending,"72831 Chang Falls Apt. 176
Wattston, NE 33764"
1016,372,Todd Crawford,gromero@davis.com,06/05/2024,1013,Electronics,2658.35,8,21266.8,,Shipped,"3113 Gregory Wall Suite 086
Laurenbury, MT 94601"
1017,99,Jacqueline Mccall,nicholasyates@gordon-gentry.biz,26/02/2024,1092,,4061.84,-1,-4061.84,Bank Transfer,Delivered,"9653 Wang Route Apt. 218
Williamburgh, PA 95069"
1018,359,Hunter Patterson,garciajohn@randall-kirby.com,21/08/2024,1070,Toys,864.98,-5,-4324.9,CC,Pending,"981 Christine Falls
Lambfort, MA 10096"
1019,151,Samantha Rosales,nking@watson.com,21/12/2023,1067,Books,4389.85,3,13169.55,Credit Card,Shipped,"46414 Smith Village
North Andrew, MD 24414"
1004,270,Nichole Nelson,sgibbs@reeves.org,28/07/2023,1090,Clothing,3780.65,2,7561.3,creditcard,Shipped,"4983 James Plains
Roachland, NJ 41398"
1020,130,Karen Solomon,sampsonbelinda@bates-warren.com,04/08/2023,1058,Home & Kitchen,3282.61,-2,-6565.22,PayPal,Processing,"1921 Joel Union
Lake Juliamouth, NJ 44812"
1021,149,Jeremy Washington,loganashley@gmail.com,01/11/2023,1099,Toys,1412.55,7,9887.85,PayPal,Shipped,"77713 Griffin Crossing
North William, OK 29624"
1022,308,Timothy Palmer,dchen@hotmail.com,02/04/2024,1082,Clothing,4310.07,-4,-17240.28,Credit Card,,"729 Brianna Flats Apt. 942
Lake Jennifer, PA 54030"
1023,257,Dr. Natalie May,wraymond@bentley.com,06/05/2024,1075,Clothing,2560.4,-2,-5120.8,CC,Returned,"845 Baldwin Valleys
Michaelstad, WI 66024"
1024,343,Wanda Hart,ryan94@hotmail.com,03/12/2023,1084,Toys,272.03,8,2176.24,CC,,"883 Ward Mountains
Lake Jamie, WV 80506"
1025,491,Matthew Phillips,jeffreycarroll@black.com,03/10/2024,1064,Home & Kitchen,251.5,7,1760.5,Credit Card,Pending,"9333 Crosby Neck Apt. 974
Kristyborough, NM 23144"
1026,413,Phillip Martinez,clarktara@hotmail.com,11/09/2023,1069,Toys,1916.73,3,5750.19,CC,Processing,"2894 John Orchard Suite 418
North Christina, ND 34747"
1027,293,Dylan Olson,jessica20@liu.com,23/01/2025,1083,Home & Kitchen,1531.71,-4,-6126.84,Debit Card,Cancelled,"0966 Austin Divide
Williamsborough, DE 54909"
1028,385,Taylor Rivera,sellerssamuel@gross.com,01/03/2025,1086,Home & Kitchen,2690.73,-2,,CC,Processing,"15014 Hull Canyon
New Travis, OK 88855"
1029,191,Jamie Wagner,zdiaz@smith.com,08/12/2023,1059,Books,,-4,,Bank Transfer,Processing,"7311 Amber Walks Apt. 456
Karenland, IA 75275"
1030,443,Sierra Lopez,tammydaniels,26/03/2023,1060,,1455.39,-1,-1455.39,CC,Processing,"960 Dawn Spurs
East Katherine, WY 68562"
1031,276,Amanda Smith,joseph63@simpson.com,03/01/2025,1083,Clothing,739.34,-3,-2218.02,creditcard,,"2481 Wolf Lane Apt. 546
Lake Duanebury, IA 60028"
1032,160,Tyler Alexander,brayrachel@gmail.com,31/08/2024,1062,Clothing,4866.97,4,19467.88,creditcard,Cancelled,"513 Tyler Alley
Justintown, VT 74471"
1033,459,John Thomas,brittany60@brown-rodriguez.com,11/02/2025,1016,Home & Kitchen,1218.51,-4,-4874.04,PayPal,Shipped,"0763 Barnett Shores
Watershaven, MS 89876"
1034,313,Daniel Espinoza,xthomas@landry.com,10/08/2024,1088,Clothing,470.07,8,3760.56,,Pending,"77463 Christopher Cliff Suite 914
Rickyland, NY 33577"
1035,21,Jonathan Jacobs,cesarturner@wade.com,04/08/2023,1068,Electronics,4438.27,3,13314.81,Debit Card,Returned,
1036,252,Michael Johnson,angela07@gmail.com,27/04/2024,1015,Home & Kitchen,2071.15,-1,-2071.15,Debit Card,Cancelled,"6452 Alexis Mission
Port Charles, ND 06504"
1037,235,Mallory Ponce,rebecca18@yahoo.com,13/06/2023,1089,Clothing,1878.62,4,15028.96,CC,Pending,
1038,344,Julie Cain,wcook@brandt-atkinson.com,02/07/2024,1055,Electronics,1598.62,-1,,,Cancelled,"957 Steven Stravenue
Amyside, ID 93967"
1039,48,,johnsontamara@maddox.info,13/08/2023,1035,Books,4665.72,-5,-23328.6,,,"8272 Brian Loaf
Melissaburgh, RI 87304"
1040,474,Caitlin Shields,jennifer39@hotmail.com,12/02/2024,1055,Clothing,2112.04,0,0,credit,Pending,"57591 Tucker Rest Suite 471
Nathanport, AK 50664"
1041,58,Karen Acosta,fernandezangela@carlson.com,11/10/2024,1014,Electronics,4514.63,7,,,,"74438 Megan Springs
Jessicaton, NJ 61914"
1042,169,Timothy Mitchell,roseaguilar@madden.com,07/01/2025,1049,Toys,2074.56,1,2074.56,CC,Delivered,
1043,475,Megan Lindsey,olsondustin@gonzalez-bryant.org,28/10/2024,1083,,382.77,-5,,CC,Pending,"107 Peter Gardens Suite 068
Robinsonport, TX 37769"
1044,187,Miguel Henry,fguerra@gmail.com,12/07/2024,1007,Toys,3214.93,3,,Credit Card,Cancelled,"3055 Richard Pine Apt. 405
Smithmouth, NV 87080"
1030,443,Sierra Lopez,tammydaniels,26/03/2023,1060,,1455.39,-1,-1455.39,CC,Processing,"960 Dawn Spurs
East Katherine, WY 68562"
1045,463,,alanmurphy@hotmail.com,31/12/2023,1030,Electronics,1466.11,2,,PayPal,Delivered,"44316 Hayes Ranch Apt. 008
Fernandezborough, AZ 34057"
1046,270,Destiny Reeves,hansendenise@hotmail.com,02/03/2023,1083,Home & Kitchen,1898.13,6,11388.78,creditcard,,"4398 Christina Street Apt. 900
East Aaron, MD 61685"
1047,189,Christopher Nelson,benderjason@luna.com,2024-02-30,1049,Home & Kitchen,666.68,8,5333.44,credit,,"PSC 7563, Box 3932
APO AA 86529"
1048,445,Michele Williams,ishort@jones-moreno.org,08/05/2023,1089,Clothing,2545.92,8,20367.36,CC,Cancelled,"526 Spencer Roads Apt. 711
Benjaminside, MO 66205"
1049,174,Crystal Webb,carolinejones,17/03/2024,1016,Toys,1766.69,2,3533.38,Credit Card,Delivered,"07021 Smith Hills
East Richardshire, MT 15990"
1050,445,Claudia Knight,twilson@young.com,06/07/2024,1051,Home & Kitchen,2365.52,1,2365.52,credit,Processing,
1051,50,Courtney Ross,peter47@hotmail.com,16/01/2024,1072,Home & Kitchen,206.21,-1,-206.21,PayPal,Shipped,
1052,363,Walter Martin,bennettmeghan@yahoo.com,03/09/2024,1082,Toys,1848.09,-3,-5544.27,credit,Returned,
1053,54,Katie Blevins,maria67@savage.com,07/03/2024,1092,Books,4012,9,36108,Credit Card,Cancelled,"289 Vaughn Ramp
East Andreaton, DC 04496"
1054,243,Jessica Roach,kaitlynrodriguez@adams.com,28/11/2023,1080,Home & Kitchen,3470.91,6,,Bank Transfer,,"34099 Decker Glen
Garciamouth, CT 87019"
1055,319,Stephen Weber,nmitchell@gmail.com,28/12/2023,1083,,4481.93,8,35855.44,creditcard,Pending,"998 Matthew Lodge
Julieburgh, VT 55050"
1056,130,Danny Sanchez,andrewmosley@gonzalez.com,12/04/2023,1042,Electronics,2280.85,3,13685.1,CC,Delivered,"Unit 1539 Box 4210
DPO AP 84278"
1057,484,Gavin Santiago,brendathomas,26/11/2023,1017,Clothing,4105.1,8,,creditcard,Shipped,"152 Dean Fields
Patriciatown, UT 03406"
1058,306,Victor Bartlett,ahernandez,2024-02-30,1063,Home & Kitchen,3308.44,1,3308.44,PayPal,Returned,"1197 Dixon Harbor
East Cassandra, MO 89584"
1059,134,Justin Smith,cmays@crawford.com,05/11/2023,1045,,1846.67,5,,Debit Card,Pending,"Unit 8934 Box 0041
DPO AP 92257"
1060,20,Suzanne Orozco,timothywoods@gmail.com,13/05/2024,1077,,1938.98,4,,PayPal,Delivered,"465 Taylor Curve Suite 197
South David, WI 73795"
